sigma,rpa,deg,u0,omega,psi1,u1,cost,success
0.15,3.0,21,-0.9719813572032048,23.23789980786034,5.40102260866187e-07,3.562521984402551e-07,0.0012860594179579,True
0.15,3.0,19,-0.9573926077729984,23.23789980786034,-5.75177204165496e-09,-6.515126400729105e-09,2.674932697735609e-05,True
0.15,3.0,18,-0.9502231352702216,23.23789980786034,-5.197215140985396e-09,-5.883409602087584e-09,2.4337720723085028e-05,True
0.15,3.0,17,-0.9431559518690168,23.23789980786034,-4.690408635411202e-09,-5.307091904634642e-09,2.198020303751944e-05,True
0.15,3.0,16,-0.9362046990062496,23.23789980786034,-4.193714145176026e-09,-4.742385027298391e-09,1.968264818506814e-05,True
0.15,3.0,14,-0.9227096586297456,23.23789980786034,-3.306032129074765e-09,-3.734147587373684e-09,1.531703461523031e-05,True
0.15,3.0,13,-0.9161996528973664,23.23789980786034,-2.883535910397145e-09,-3.254930816764822e-09,1.3267946788140994e-05,True
0.15,3.0,12,-0.909872997219642,23.23789980786034,-2.4893820529784555e-09,-2.808174291964508e-09,1.1327208168539964e-05,True
0.15,3.0,11,-0.9037512749675178,23.23789980786034,-2.1221833591908717e-09,-2.392255920676186e-09,9.502022155125158e-06,True
0.15,3.0,9,-0.8922209008894377,23.23789980786034,-1.463196937449618e-09,-1.646907900415317e-09,6.256427152209488e-06,True
0.15,3.0,8,-0.8868695517113733,23.23789980786034,-1.1775465769677534e-09,-1.3242405224362502e-09,4.858420604257138e-06,True
0.15,3.0,7,-0.88183910992339,23.23789980786034,-9.214137405470819e-10,-1.0351596802059423e-09,3.6282638077986976e-06,True
0.15,3.0,6,-0.8771703948578886,23.23789980786034,-6.79396727483697e-10,-7.620614490226453e-10,2.573215654904184e-06,True
0.15,3.0,5,-0.872911483086109,23.23789980786034,-4.777040211344268e-10,-5.349963680093784e-10,1.7025818998529091e-06,True
0.15,3.0,4,-0.869120887550664,23.23789980786034,-3.0989897616202097e-10,-3.4634863435597136e-10,1.020208495225194e-06,True
0.15,3.0,3,-0.8658720775588444,23.23789980786034,-1.829481851966257e-10,-2.0380884808957606e-10,5.253305426922361e-07,True
0.15,3.0,2,-0.863262622658914,23.23789980786034,-9.191144658634106e-11,-1.0152459169206172e-10,2.0843379183128232e-07,True
0.15,3.0,1,-0.8614351879763983,23.23789980786034,-2.303261391396393e-11,-2.480096970539628e-11,4.7792623693791094e-08,True
0.15,3.0,60,-1.2435914489936737,23.23488724848615,7.470516654927249e-09,-1.0781384650024488e-08,1.2392407396590155e-16,True
0.15,3.0,80,-1.3159185494133188,23.21394335364336,1.0909649784140894e-08,-1.566363472286511e-08,2.625986678391553e-16,True
0.15,3.0,100,-1.292417811122381,23.13012893210505,1.4221466278037352e-08,-2.0013746262918995e-08,4.2902490243209774e-16,True
0.15,3.0,110,-1.2257963852106413,22.65925626127915,2.1637021870910946e-08,-2.8264185678549644e-08,8.612386210251291e-16,True
0.15,3.0,120,-1.108050451512935,22.070340403576868,3.2782080937009175e-08,-4.1327689445277856e-08,1.806311957029401e-15,True
0.15,3.0,130,-0.9331667328478208,22.63092396027672,1.845506467018884e-08,-2.4122146331615827e-08,6.200464757411079e-16,True
0.15,3.0,150,-0.6453863702666589,20.55752589585712,3.399623861651349e-08,-4.392647558004509e-08,1.0015713760266264e-10,True
0.15,3.0,170,-0.7275589724391603,6.254252350108168,-0.001520717621212,-0.0006508254274908,0.0011154139253622,True
0.2,2.0,100,-1.4611672847394823,9.99815223292488,0.0001757709925671,-0.0002645714276861,5.153703536552607e-08,True
0.2,2.0,130,-1.1182963551449665,17.63752343015878,4.927175288168985e-07,-6.860518647668267e-07,3.85331835626992e-13,True
0.2,2.0,140,-0.9850746476811773,17.876775185503387,2.923324876899053e-07,-4.048057161314709e-07,1.3517761285072384e-13,True
