rpa,deg,u0,omega,cost,success,psi1,u1
4.0,107,-0.3838989875022592,87.9702447125188,1.618419755326746e-13,True,-1.403181433175563e-07,-3.0973055646588414e-08
4.0,109,-0.379116226607787,85.64293008601898,3.419207752390873e-17,True,2.874608511767666e-10,-5.375406682830213e-10
5.0,77,-0.365032717971878,86.80012497189037,3.295399749576749e-16,True,-5.925375435054172e-09,-1.711672506938942e-09
5.0,79,-0.3672134255146807,56.583230820480736,9.663149547423869e-14,True,1.0606602007188829e-07,-4.195837718587026e-07
5.0,81,-0.3691337397318117,89.30829741742625,8.212702391689555e-15,True,-4.819472295797456e-08,-1.0778060747889058e-08
5.0,83,-0.3707803837052227,86.03711876575171,4.491324299137548e-14,True,-5.046825984076795e-08,-1.1553383237851036e-08
5.0,85,-0.3721384480324098,67.12900358498088,1.0422431663708736e-15,True,2.0933274199945715e-08,-3.7307316581885766e-08
5.0,87,-0.3731899408662516,84.94081275897346,8.71645894930502e-16,True,-3.291313257429048e-08,-7.908549721944336e-09
5.0,93,-0.3743738003213785,83.38444551133446,1.3861819770688416e-15,True,3.9337435531895404e-10,-1.0206539067003402e-09
5.0,95,-0.3740098032480611,88.40629375668871,6.020361651136523e-16,True,2.6195915549511583e-08,5.357625175946061e-09
5.0,97,-0.3732617242895876,89.54772670305957,5.920140621397403e-11,True,-9.158041593475918e-07,-2.002892469187291e-07
5.0,99,-0.3720962246793244,85.28526723768158,1.5897514046944442e-13,True,-6.547870143264505e-08,-1.504033835784399e-08
5.0,101,-0.370456865692844,85.17057157104182,7.964800878559533e-17,True,3.7771758222134606e-10,-7.049643987232891e-10
5.0,103,-0.3683332881229338,90.24756215695952,3.444883236353072e-12,True,-1.4625894432800809e-06,-3.196968411657963e-07
5.0,107,-0.3624969424115378,77.82934855011973,4.4481180556104427e-17,True,-2.488374695443474e-10,-4.398266267650952e-09
5.0,109,-0.3587179535333348,81.64903357549748,3.6442972719886724e-13,True,-1.1290697969755065e-07,-2.6425616064436888e-08
3.0,108,-0.4300707707604957,85.58097010929279,5.880710068244661e-17,True,1.9012533463047727e-10,-4.268170155487453e-10
3.0,106,-0.4353202057879216,90.9339059575175,1.8466427281484682e-14,True,-1.4241089140834208e-07,-3.1242853305002965e-08
3.0,104,-0.4400384054699279,88.01892455555347,1.5535632306546233e-14,True,-5.560091525150182e-08,-1.2406396990224045e-08
3.0,102,-0.4442193061841134,90.33449562515626,1.705199447153065e-12,True,1.25365090288843e-06,2.735497488239701e-07
3.0,100,-0.4479149730975198,92.0748351758512,7.189325908266777e-12,True,-3.6171527422618456e-06,-7.90231966094438e-07
3.0,98,-0.4511138020000548,92.38638197301908,8.094787635156818e-12,True,-6.76770642715712e-07,-1.4795569852335386e-07
3.0,96,-0.4538509553056213,87.77556051545334,2.001861214559529e-12,True,-6.252378864450526e-07,-1.367146289188784e-07
3.0,94,-0.456150426434312,82.84008986085804,5.214461836336555e-13,True,2.924683878825896e-07,6.289835748738973e-08
3.0,92,-0.4580154325392525,71.38649931450949,3.441042304732395e-15,True,6.456430022088693e-09,-9.782696626627184e-09
3.0,88,-0.4594595122185275,94.8670213535795,21.37859741787404,True,-0.0005516088774553,-0.0001203268477511
3.0,86,-0.4612379277943867,94.47014142816477,4.6729111879807407e-14,True,2.2937730754945984e-09,4.2892193403965746e-10
3.0,84,-0.461586791431977,93.87805962647144,1.9151223768960102e-10,True,1.9447873422265068e-09,3.6080125477328447e-10
3.0,82,-0.4615951923726701,90.83796254375468,1.5851269165805433e-12,True,-1.4119931653944148e-06,-3.0852752814409026e-07
3.0,78,-0.4606586016438468,86.08433557510774,2.864923076270642e-13,True,-1.177569228686908e-07,-2.6038977106780426e-08
3.0,76,-0.4597426335215873,93.0265289218721,2.9203027170904653e-15,True,2.495554905432601e-09,4.5720843690567526e-10
3.0,74,-0.4585465780148567,91.63409518749522,1.2179604718740646e-09,True,-7.874149213664023e-08,-1.7276296269428512e-08
3.0,73,-0.4578476034126661,91.17283010073292,1.8941850380113007e-14,True,-1.5399203197423493e-07,-3.3756987354413304e-08
3.0,72,-0.4570835185751162,89.67989826524013,3.2302751454410957e-15,True,4.5689068573904985e-08,9.81893365836195e-09
3.0,71,-0.45625584819717163,85.40833380083316,4.810577688444075e-13,True,1.759759064194756e-07,3.80130048824886e-08
